date,temperature_max_c,temperature_min_c,humidity_percent,wind_speed_kmh,precipitation_mm,cloud_cover_okta,weather_condition
2025-09-30,31.0,27.0,81,8.5,1.8,5,light rain
2025-10-01,31.0,27.0,83,6.0,0.1,5,light rain
2025-10-02,31.0,27.0,85,9.3,4.7,5,light rain
2025-10-03,32.0,26.0,81,11.0,0.0,6,mostly cloudy
2025-10-04,32.0,28.0,80,9.4,0.0,4,partly cloudy
2025-10-05,33.0,28.0,81,10.9,0.0,5,mostly cloudy
2025-10-06,32.0,28.0,76,12.2,0.0,4,partly cloudy
2025-10-07,32.0,25.0,80,7.1,0.0,3,partly cloudy
2025-10-08,32.0,25.0,82,3.8,1.2,4,light rain
2025-10-09,32.0,25.0,81,6.5,18.5,4,rainy
2025-10-10,32.0,28.1,77,8.3,0.0,4,partly cloudy
2025-10-11,32.0,28.0,81,10.9,0.0,4,partly cloudy
2025-10-12,31.0,24.0,78,13.3,0.0,5,mostly cloudy
2025-10-13,32.0,28.0,78,11.0,0.0,3,partly cloudy
2025-10-14,32.0,26.0,79,7.5,0.6,5,light rain
2025-10-15,32.0,27.0,77,12.1,0.0,4,partly cloudy
2025-10-16,32.0,28.0,72,17.8,0.0,3,partly cloudy
2025-10-17,32.0,28.0,72,16.7,0.0,3,partly cloudy
2025-10-18,31.0,27.0,75,12.7,0.0,3,partly cloudy
2025-10-19,31.0,27.0,77,11.5,0.1,4,light rain
2025-10-20,31.0,26.0,75,12.4,0.0,3,partly cloudy
2025-10-21,33.0,28.0,73,13.0,0.0,4,partly cloudy
2025-10-22,31.0,28.0,79,11.7,0.0,3,partly cloudy
2025-10-23,32.0,28.0,80,9.1,0.0,4,partly cloudy
2025-10-24,32.0,28.0,82,8.8,0.0,4,partly cloudy
2025-10-25,32.0,27.0,84,10.0,0.0,4,partly cloudy
2025-10-26,32.0,28.0,80,8.9,0.0,3,partly cloudy
2025-10-27,33.0,28.0,81,9.8,0.0,3,partly cloudy
2025-10-28,32.0,26.0,84,9.2,0.0,1,sunny
2025-10-29,32.0,28.0,83,8.6,0.0,3,partly cloudy
2025-10-30,32.0,26.0,82,8.2,0.0,4,partly cloudy
2025-10-31,31.0,27.0,82,9.8,0.0,4,partly cloudy
2025-11-01,31.0,27.0,82,10.0,0.0,3,partly cloudy
2025-11-02,31.5,28.0,81,8.7,0.0,3,partly cloudy
2025-11-03,34.0,28.0,80,8.8,0.0,3,partly cloudy
2025-11-04,33.0,27.0,79,9.0,0.0,2,mostly sunny
2025-11-05,32.0,27.0,78,8.8,0.0,2,mostly sunny
2025-11-06,32.0,25.0,76,10.6,0.0,2,mostly sunny
2025-11-07,32.0,27.0,77,9.0,0.0,3,partly cloudy
2025-11-08,31.0,28.0,79,8.3,0.0,4,partly cloudy
2025-11-09,30.0,27.9,75,13.6,0.0,4,partly cloudy
2025-11-10,31.0,28.0,70,11.3,1.0,6,light rain
2025-11-11,29.0,26.0,71,9.9,2.5,6,light rain
2025-11-12,30.0,27.0,72,11.6,0.0,3,partly cloudy
2025-11-13,30.0,27.0,75,14.5,0.0,4,partly cloudy
2025-11-14,31.0,27.0,78,18.8,0.0,2,mostly sunny
2025-11-15,31.0,27.0,75,19.2,0.0,1,sunny
2025-11-16,31.0,27.0,73,18.1,0.0,4,partly cloudy
2025-11-17,32.0,26.0,71,11.4,0.0,3,partly cloudy
2025-11-18,31.0,24.0,71,9.4,0.0,4,partly cloudy
2025-11-19,30.0,24.0,74,12.5,0.0,4,partly cloudy
2025-11-20,31.0,27.0,67,18.0,0.0,4,partly cloudy
2025-11-21,29.0,26.0,70,15.5,0.0,6,mostly cloudy
2025-11-22,29.0,26.5,61,16.3,0.0,8,cloudy
2025-11-23,28.0,26.0,70,17.7,0.0,7,cloudy
2025-11-24,31.0,26.0,54,22.8,0.0,8,cloudy
2025-11-25,33.0,25.0,50,21.8,0.0,8,cloudy
2025-11-26,27.0,25.0,53,16.6,0.0,8,cloudy
2025-11-27,29.0,25.0,59,13.4,0.0,5,mostly cloudy
2025-11-28,28.0,25.0,64,18.7,0.0,5,mostly cloudy
2025-11-29,28.0,25.0,69,15.9,0.0,6,mostly cloudy
2025-11-30,28.0,24.0,75,13.5,0.0,6,mostly cloudy
2025-12-01,31.0,25.0,61,12.9,0.0,6,mostly cloudy
2025-12-02,27.0,25.0,52,22.5,0.0,8,cloudy
2025-12-03,25.0,22.0,71,24.9,3.8,8,light rain
2025-12-04,25.0,22.0,72,21.2,0.0,7,cloudy
2025-12-05,27.0,22.0,67,17.6,0.0,7,cloudy
2025-12-06,23.0,21.0,70,18.5,2.4,8,light rain
2025-12-07,25.0,21.0,73,19.3,0.0,8,cloudy
2025-12-08,26.0,21.0,80,21.4,0.0,6,mostly cloudy
2025-12-09,26.0,22.0,72,18.8,0.0,5,mostly cloudy
2025-12-10,26.0,23.0,62,20.7,0.0,6,mostly cloudy
2025-12-11,26.0,22.0,60,21.5,0.0,5,mostly cloudy
2025-12-12,26.0,22.0,64,20.5,0.0,4,partly cloudy
2025-12-13,25.0,21.0,62,25.8,0.0,4,partly cloudy
2025-12-14,23.0,20.0,69,26.3,0.0,2,mostly sunny
2025-12-15,24.0,18.0,70,19.4,0.0,1,sunny
2025-12-16,25.0,19.0,60,23.2,0.0,2,mostly sunny
2025-12-17,24.0,19.0,62,21.5,0.0,3,partly cloudy
2025-12-18,23.0,19.0,67,21.8,0.0,6,mostly cloudy
2025-12-19,23.0,18.0,66,15.9,0.0,6,mostly cloudy
2025-12-20,23.0,18.0,66,13.5,0.0,2,mostly sunny
2025-12-21,23.0,18.0,66,9.2,0.0,3,partly cloudy
2025-12-22,24.0,19.0,71,12.7,0.0,4,partly cloudy
2025-12-23,23.0,19.0,69,19.3,0.0,5,mostly cloudy
2025-12-24,23.0,19.0,70,20.1,0.0,7,cloudy
2025-12-25,22.0,19.0,76,18.7,0.0,7,cloudy
2025-12-26,23.0,19.0,73,19.6,0.0,1,sunny
2025-12-27,23.0,18.0,78,16.6,0.0,1,sunny
2025-12-28,23.0,18.0,72,17.0,0.0,0,sunny
2025-12-29,24.0,19.0,69,13.9,0.0,1,sunny
2025-12-30,32.0,20.0,59,13.8,0.0,1,sunny
2025-12-31,28.0,20.0,61,16.5,0.0,2,mostly sunny
2026-01-01,28.0,21.0,65,17.6,0.0,4,partly cloudy
2026-01-02,25.0,21.0,77,15.6,0.0,5,mostly cloudy
2026-01-03,23.0,20.0,88,22.5,0.0,4,partly cloudy
2026-01-04,23.0,20.0,85,20.3,0.0,4,partly cloudy
2026-01-05,23.0,20.0,85,19.8,0.0,4,partly cloudy
2026-01-06,22.0,19.0,86,15.2,0.0,5,mostly cloudy
2026-01-07,23.0,19.0,80,15.9,0.4,6,light rain
2026-01-08,22.0,18.0,75,19.7,0.0,3,partly cloudy
2026-01-09,21.7,18.0,81,18.7,0.2,4,light rain
2026-01-10,22.0,19.0,70,21.5,0.0,3,partly cloudy
2026-01-11,22.0,18.0,77,17.8,0.0,2,mostly sunny
2026-01-12,23.0,19.0,80,15.6,0.0,4,partly cloudy
2026-01-13,23.0,19.0,84,11.6,0.0,6,mostly cloudy
2026-01-14,23.0,19.0,80,15.7,0.0,3,partly cloudy
2026-01-15,23.0,19.0,82,19.5,0.0,2,mostly sunny
2026-01-16,23.0,18.0,81,17.3,0.0,2,mostly sunny
2026-01-17,23.0,18.0,76,17.3,0.0,5,mostly cloudy
2026-01-18,23.0,19.0,68,21.0,0.0,4,partly cloudy
2026-01-19,22.0,18.0,80,18.5,0.0,4,partly cloudy
2026-01-20,22.0,18.0,68,20.6,0.0,3,partly cloudy
2026-01-21,22.0,18.0,60,20.9,0.0,4,partly cloudy
2026-01-22,22.0,18.0,57,19.9,0.0,6,mostly cloudy
2026-01-23,22.0,18.0,64,20.3,0.0,6,mostly cloudy
2026-01-24,23.0,18.0,72,19.5,0.0,6,mostly cloudy
2026-01-25,24.0,18.8,69,18.5,0.0,5,mostly cloudy
2026-01-26,24.0,18.0,57,19.0,0.0,2,mostly sunny
2026-01-27,26.0,19.0,56,17.3,0.0,3,partly cloudy
2026-01-28,27.0,19.0,54,17.1,0.0,2,mostly sunny
2026-01-29,24.0,19.0,63,17.2,0.0,3,partly cloudy
2026-01-30,25.0,18.0,67,18.9,0.0,1,sunny
2026-01-31,24.0,19.0,75,18.7,0.0,1,sunny
2026-02-01,23.0,19.0,83,17.7,0.0,0,sunny
2026-02-02,23.0,19.0,87,16.4,0.0,1,sunny
2026-02-03,23.0,18.2,84,16.6,0.0,0,sunny
2026-02-04,23.0,18.0,83,12.8,0.0,0,sunny
2026-02-05,22.0,16.0,87,11.1,0.0,1,sunny
2026-02-06,23.0,19.0,83,17.1,0.0,4,partly cloudy
2026-02-07,25.0,18.0,79,16.0,0.0,3,partly cloudy
2026-02-08,25.0,19.0,73,15.8,0.0,2,mostly sunny
2026-02-09,26.0,19.0,68,16.4,0.0,1,sunny
2026-02-10,24.9,19.0,75,13.7,0.0,1,sunny
2026-02-11,25.7,19.0,72,16.4,0.0,2,mostly sunny
2026-02-12,25.3,18.8,80,13.1,0.0,1,sunny
2026-02-13,26.0,20.0,72,7.9,0.0,2,mostly sunny
2026-02-14,26.0,20.0,71,10.4,0.0,4,partly cloudy
2026-02-15,24.0,19.0,70,12.3,0.0,2,mostly sunny
2026-02-16,27.0,19.0,64,16.9,0.0,1,sunny
2026-02-17,28.0,21.0,52,14.5,0.0,0,sunny
2026-02-18,28.0,19.0,61,13.3,0.0,0,sunny
2026-02-19,26.0,19.0,67,11.4,0.0,0,sunny
2026-02-20,28.0,19.4,61,10.7,0.0,0,sunny
2026-02-21,27.0,20.0,63,10.7,0.0,0,sunny
2026-02-22,32.0,22.0,45,14.3,0.0,1,sunny
2026-02-23,34.0,20.0,52,9.5,0.0,3,partly cloudy
